s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
LINKAUD,TRADING,LINK,AUD,,,0.001,0.001,ChainLink,Australia Dollar,17.928,18.27,17.5,17.612,1982.497,35237.196727,0,1982.497,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LINKBKRW,TRADING,LINK,BKRW,,,0.1,0.01,ChainLink,Binance KRW,14538.6,14617.37,14082.15,14179.18,653.7,9323349.764,0,653.7,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LINKBUSD,TRADING,LINK,BUSD,,,0.01,0.0001,ChainLink,BUSD,13.31,13.5599,12.8728,13.02,125185.24,1651079.115531,0,125185.24,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LINKEUR,TRADING,LINK,EUR,,,0.001,0.001,ChainLink,Euro,11.1,11.173,10.665,10.795,13322.277,144907.518518,0,13322.277,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LINKTRY,TRADING,LINK,TRY,,,0.01,0.001,ChainLink,Turkish Lira,104,105.405,101.133,102.084,2337.75,239408.24338,0,2337.75,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LINKTUSD,TRADING,LINK,TUSD,,,0.01,0.0001,ChainLink,TrueUSD,13.3475,13.5555,12.9228,13.0573,2397.59,31846.299289,0,2397.59,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LINKUSDC,TRADING,LINK,USDC,,,0.01,0.0001,ChainLink,USD Coin,13.3319,13.5557,12.8882,13.03,32048.75,423311.211459,0,32048.75,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LINKUSDT,TRADING,LINK,USDT,,,0.01,0.0001,ChainLink,TetherUS,13.3,13.5536,12.8671,13.0191,3425569.41,45188963.086364,0,3425569.41,USDⓈ,USDⓈ,395509556,"[""defi""]",,,
LOOMBTC,TRADING,LOOM,BTC,,฿,1,1e-8,Loom Network,Bitcoin,0.00000149,0.0000016,0.00000146,0.00000155,25467858,38.95060658,0,25467858,BTC,BTC,970520753,[],,,
LOOMETH,TRADING,LOOM,ETH,,Ξ,1,1e-8,Loom Network,Ethereum,0.000048,0.00005375,0.00004721,0.00005,4304137,213.41705981,0,4304137,ALTS,ALTS,970520753,[],,,
LRCBTC,TRADING,LRC,BTC,,฿,1,1e-8,Loopring,Bitcoin,0.00000991,0.00000993,0.00000952,0.00000963,1372220,13.283827,0,1372220,BTC,BTC,1201751511,"[""defi""]",,,
